,mf1,mf2,mf3,mf4,mf5,mf6,mf7,mf8,mf9,mf10,mf11,mf12,mf13,mf14,mf15,mf16,mf17,mf18,mf19,mf20,std1,std2,std3,std4,std5,std6,std7,std8,std9,std10,std11,std12,std13,std14,std15,std16,std17,std18,std19,std20,Emotion,code
0,-693.0697552,55.73456924,-1.9197385580000002,16.40899707,8.449356513,0.22073695399999999,-1.7383413330000002,-4.931289994,-11.98182137,-0.993779484,0.494107277,-2.296897402,0.678700438,-2.9393212610000004,-0.450768186,0.734228675,-4.824006035,-0.67738115,-2.233056043,0.827009448,184.7528059,66.54710131,19.49206307,19.63149612,17.19892622,11.93783623,11.18490172,11.67994152,17.41580567,8.193289079,9.176940038,9.238075108,9.367202928,7.764120864,7.033524875,4.796658143999999,9.809093901,4.8489044,6.797551505,4.111359215,male_neutral,13
1,-691.7701941,58.35064711,-0.165160488,13.95212372,5.053322116,1.4893256819999998,-2.397429946,-5.059064801,-10.63800238,-3.34419706,0.264549777,-2.529107453,1.5486126519999999,-3.132303077,-2.2850495019999997,1.17953648,-5.222142788,-2.82803587,-0.169575315,0.328943643,190.04889719999997,72.43255343,21.73431265,19.84107945,16.69007681,14.50797281,10.08651076,12.81477678,16.94410282,8.952927724,9.784741397000001,7.941151783,10.00389077,6.5682979779999995,7.3577203529999995,4.934187008,8.746376636,5.828597597000001,5.494218608,3.7508012330000002,male_neutral,13
2,-685.2378707,56.23669814,2.45311193,13.56665555,6.701948464,3.3414935139999997,-1.8950527080000001,-6.673817012000001,-10.67163347,-2.946319915,0.895643665,-1.203600115,0.246569101,-2.46389089,-1.4349357759999999,2.1335145580000003,-4.647729655,-1.7609537709999998,-0.35699634399999997,-0.365473916,184.2418826,66.68675827,20.15786162,21.08292751,16.49934017,12.17379077,9.187515099,14.09125024,14.77719341,8.420558098999999,8.744996321,7.9103055079999995,7.497982605,7.060039268,7.060077832,5.155107818,9.737632414,5.3229541010000005,5.441654361,5.01038589,male_neutral,13
3,-727.3179445000001,62.76439726,2.7512753780000003,15.47325685,7.763115916,2.3307142990000003,-3.641682022,-3.3673436480000003,-10.11307754,-4.470084815,0.639894727,-2.745656546,0.19821894199999998,-2.933763395,-0.75060721,1.924177896,-5.790614282999999,-0.396636389,-1.5093630409999998,-1.2271508009999998,182.5100955,68.63915809,22.22330141,21.13715526,18.43218886,12.15630696,12.84866677,10.00603607,13.85774106,9.039006217,11.5949031,8.72228852,8.008257456,7.623510713,6.078534604,4.8996024910000004,11.43607807,5.298542499,5.467718124,6.130380917999999,male_calm,9
4,-707.5534781,67.09772897,1.9093646480000002,11.53098782,9.399661683,1.415026712,-4.764856333,-4.333333713,-8.645219034,-4.472896453,1.429520666,-2.0484026490000002,-0.518560296,-3.154830669,-1.8742191869999998,1.4090910419999998,-5.1946065930000005,-1.879914284,-1.0601616520000001,-1.1548045359999999,169.117643,73.2668441,22.72454006,20.11366617,17.95169964,10.88945374,12.21714945,9.532264452,12.69751849,9.48393648,9.448565704,8.470558375,8.255268028,7.140913824,5.476580751,6.025843188,11.53538311,5.58128705,4.870696232,5.411506162,male_calm,9
5,-697.4039102999999,65.5138,0.525357556,14.03812159,5.554950525,3.295453092,-1.740744782,-4.380754789,-9.062699709,-4.166158555,1.5895824790000002,-1.251473657,1.058002209,-4.150174248,1.130167988,0.466850899,-6.626173081,-2.313127256,-0.395002824,-1.4120905780000002,195.3625286,78.12299991,25.74593772,20.88513201,18.17079532,14.1500717,9.791528725,12.45327002,15.03865665,9.878419614,11.67287837,7.93397415,7.857372839,9.008027311000001,5.645917817999999,4.810896777,11.02359251,5.114985094,5.179220552,6.40007414,male_calm,9
6,-698.8539072000001,69.10642917,0.725410483,14.0907339,7.961054377999999,2.463774554,-0.994342389,-5.345838458,-8.234461209,-4.035144783,0.647650119,-1.339194818,1.241420601,-3.2436022689999997,0.268661508,1.5214195940000002,-5.777015055,-1.537542376,-0.75797941,-0.729111829,195.8492192,75.65581682,23.00867916,19.81965187,15.29494924,11.65517916,9.733413432,12.92870585,13.57307258,9.492789522,10.70462631,7.614117125,7.855384700000001,8.210723394,4.8985787169999995,4.8489850489999995,11.70940597,5.626030492999999,5.3342630689999995,5.65648742,male_calm,9
7,-734.3849815000001,70.98157683,3.789530283,14.32481369,8.859694476,2.308805219,-4.1103294130000005,-2.40955401,-6.7106636260000005,-4.011647387,1.6443523780000002,0.439188409,-0.52450665,-3.3277779830000003,-0.18846142300000002,0.8644882159999999,-2.210990413,-2.192018838,-0.7179275420000001,1.406384419,190.2534605,71.85706857,20.29323235,21.49784137,18.89935574,11.806137,12.92919008,9.034280002000001,10.42027839,9.947008517999999,10.03754213,7.374705907,7.053200003,6.907618175,5.267059176,4.979567032,7.625666077000001,5.756125437000001,5.633432136000001,5.801298957,male_calm,9
8,-698.0932926,67.79178972,-0.900856635,12.33658951,6.449859465,1.020394459,-4.993831789,-5.584002793,-8.369480067000001,-4.441402049,2.2507397630000003,-1.046127803,-1.51840596,-4.276840772,-0.50040249,-0.48773529299999996,-4.399425011,-1.8563630480000002,-1.1129156629999999,0.09536639599999999,173.0872442,72.93412174,21.25459981,18.78107588,18.27438453,13.521769800000001,13.82076576,9.795092505,11.54512925,10.06620189,11.3196288,8.430201324,7.117722917999999,8.311391501000001,6.538184952000001,4.6535729219999995,9.16869481,5.507455309,6.347100794,5.71726212,male_calm,9
9,-704.6942431,69.36788044,4.208248663,12.46401886,5.158592774,6.381874552,-5.335752535,-4.355042987,-8.794273904,-4.403317168,1.8325772790000001,1.6972589219999998,0.126110483,-3.569221945,1.296900543,-0.411296217,-4.766838082,-1.5650288380000001,-2.0583006580000003,-0.013833588,200.9914443,76.27483302,20.75550916,19.61322185,17.65658967,12.00107579,12.29416418,13.63692077,14.23597251,10.56076841,10.44478573,6.858308845,8.294235705,9.546605141,6.704242961,5.277900253,9.899181279,6.956253397,7.001810473,5.575227107000001,male_calm,9
